idx,attachment,status,benchmark_mode,resolved_benchmark_mode,strategy_generation_policy,strategy_error,strategy_warning,detail_count,detail_source,exact_detail_count,unit_name_detail_count,unmatched_detail_count,skipped_detail_count,uncovered_detail_count,generated_questions,ready_questions,needs_review_questions,model_candidate_questions,model_questions,model_ready_questions,model_replaced_by_template_questions,template_inserted_questions,template_fallback_questions,template_fallback_ready_questions,average_score,coverage_adjusted_score,coverage_passed,template_adjusted_passed,strict_template_passed,model_quality_passed,passed,details,exact_details,unit_name_details,unmatched_details,skipped_details,manual_review_suggestions,error
303016,303016_1_직무기술서.pdf,template_ready,template,template,template_benchmark_no_model,,,1,explicit,1,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,환경미화,환경미화,,,,,
303014,303014_1_2. NCS기반 직무설명자료(식당파트타임).pdf,template_ready,template,template,template_benchmark_no_model,,,4,explicit,4,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,한식조리; 양식조리; 중식조리; 일식조리,한식조리; 양식조리; 중식조리; 일식조리,,,,,
303013,303013_1_260723 [안산병원] 청년(체험형)인턴_장애전형 직무기술서.hwp,template_ready,template,template,template_benchmark_no_model,,,1,explicit,1,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,병원행정,병원행정,,,,,
303012,303012_1_NCS 기반 채용 직무 설명자료.hwp,template_ready,template,template,template_benchmark_no_model,,,2,explicit,2,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,유원시설운영관리; 객실관리,유원시설운영관리; 객실관리,,,,,
303010,303010_1_(직무기술서)보령권지사 장항물재생센터 단기계약근로자(하수도 시설운영 지원) 채용(휴직 대체인력).pdf,template_ready_contextual_detail,template,template,template_benchmark_no_model,,,1,contextual,1,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,0.0,False,True,False,False,False,하수처리시설운영관리,하수처리시설운영관리,,,,,
303004,303004_1_직무기술서(정비보조).hwp,template_ready_contextual_detail,template,template,template_benchmark_no_model,,,1,contextual,1,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,0.0,False,True,False,False,False,화력발전설비운영,화력발전설비운영,,,,,
303003,303003_1_2. 직무기술서.pdf,template_ready,template,template,template_benchmark_no_model,,,2,explicit,2,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,총무; 사무행정,총무; 사무행정,,,,,
303002,303002_1_2. 직무기술서.pdf,template_ready,template,template,template_benchmark_no_model,,,2,explicit,2,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,총무; 사무행정,총무; 사무행정,,,,,
303001,303001_1_2026년 안전본부 단기계약 근로자(대체인력) 채용 직무기술서.pdf,template_ready_contextual_detail,template,template,template_benchmark_no_model,,,2,contextual,2,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,0.0,False,True,False,False,False,보건교육; 산업보건관리,보건교육; 산업보건관리,,,,,
302998,302998_1_별첨 7. 직종별 직무기술서.pdf,template_ready,template,template,template_benchmark_no_model,,,6,explicit,6,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,프로젝트관리; 정보기술전략; 정보기술기획; IT프로젝트관리; 총무; 환경미화,프로젝트관리; 정보기술전략; 정보기술기획; IT프로젝트관리; 총무; 환경미화,,,,,
302997,302997_1_직무기술서(2026년 제2차 단기 결원 대체 인력풀).zip,template_ready_partial_detail_coverage,template,template,template_benchmark_no_model,,,6,explicit,2,0,4,0,4,6,6,0,0,0,0,0,6,6,6,1.0,0.0,False,True,False,False,False,간호업무 보조; 간호행정 보조; 재원환자 관리; 응급 환자 관리; 요양지원; 환경미화,요양지원; 환경미화,,간호업무 보조; 간호행정 보조; 재원환자 관리; 응급 환자 관리,,"간호업무 보조: manual-review-only: nearby 요양지원 units include 0601010801_23v3 진료지원보조, 0601010802_23v3 물품전달, 0601010803_23v3 환자이송지원, 0601010808_23v3 사고예방지원; do not count as exact coverage without human selection | 간호행정 보조: manual-review-only: no exact local NCS hit; broad 병원행정 candidates are too weak for automatic coverage | 재원환자 관리: false friend: element-level 재원환자 관리하기 belongs to 0601020110_16v2 진료비관리 under 병원행정; keep unresolved in clinical nursing context | 응급 환자 관리: manual-review-only: source-like 0602020000_17v1 is not available in local MCP; 응급환자 searches return rescue/industrial units, not nursing",
302996,302996_1_직무기술서.zip,template_ready_partial_detail_coverage,template,template,template_benchmark_no_model,,,8,explicit,4,0,4,0,4,6,6,0,0,0,0,0,6,6,6,1.0,0.0,False,True,False,False,False,건축설계; 유지관리; 건설안전관리; 건축감리; 건축설비유지관리; 간호업무 보조; 간호행정 보조; 병원행정,건축설계; 건설안전관리; 건축설비유지관리; 병원행정,,유지관리; 건축감리; 간호업무 보조; 간호행정 보조,,"유지관리: manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail coverage; do not borrow broad maintenance suggestions automatically | 건축감리: manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail coverage | 간호업무 보조: manual-review-only: nearby 요양지원 units include 0601010801_23v3 진료지원보조, 0601010802_23v3 물품전달, 0601010803_23v3 환자이송지원, 0601010808_23v3 사고예방지원; do not count as exact coverage without human selection | 간호행정 보조: manual-review-only: no exact local NCS hit; broad 병원행정 candidates are too weak for automatic coverage",
302994,302994_1_첨부3_2026년도 제4차 신입사원(고졸수준 일반전형) 직무설명자료.pdf,template_ready,template,template,template_benchmark_no_model,,,2,explicit,2,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,원자력발전설비운영; 원자력발전기계설비정비,원자력발전설비운영; 원자력발전기계설비정비,,,,,
302984,302984_1_직무설명서.zip,no_exact_units,template,template,,,,4,explicit,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,영상의학; 임상병리; 간호업무 보조; 간호행정 보조,,,영상의학; 임상병리; 간호업무 보조; 간호행정 보조,,"영상의학: manual-review-only: no exact local/public NCS unit hit for human radiology context | 임상병리: false friend: public NCS search returns animal/nonclinical pathology hits, not human clinical laboratory context | 간호업무 보조: manual-review-only: nearby 요양지원 units include 0601010801_23v3 진료지원보조, 0601010802_23v3 물품전달, 0601010803_23v3 환자이송지원, 0601010808_23v3 사고예방지원; do not count as exact coverage without human selection | 간호행정 보조: manual-review-only: no exact local NCS hit; broad 병원행정 candidates are too weak for automatic coverage",
302977,302977_1_직무명세서.pdf,parsed_no_detail,template,template,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,,,,,,,
302960,302960_1_[붙임7] 직무기술서(간호직).pdf,no_exact_units,template,template,,,,2,explicit,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,간호수행; 간호행정관리,,,간호수행; 간호행정관리,,간호수행: manual-review-only: no exact local/public NCS hit for nursing-performance label | 간호행정관리: manual-review-only: no exact local/public NCS hit; broad 병원행정 candidates are too weak for automatic coverage,
302959,302959_1_직무기술서_부산울산경남지역협력단 특수직.pdf,template_ready_contextual_detail,template,template,template_benchmark_no_model,,,1,contextual,1,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,0.0,False,True,False,False,False,상수관로시설운영관리,상수관로시설운영관리,,,,,
302936,302936_1_[붙임8] 직무기술서(보건직)_임상병리사.pdf,no_exact_units,template,template,,,,1,explicit,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,임상병리,,,임상병리,,"임상병리: false friend: public NCS search returns animal/nonclinical pathology hits, not human clinical laboratory context",
