collection,collection_id,lib_dstin_cd,menu_id,seq,title,ncs_code_hint,detail_label_hint,view_text,member_count,methods,task_methods,evaluation_methods,method_count,artifact_types,pairing_scope,has_task_and_eval_material,has_task_and_eval_pairs,archive,download_path,download_suffix,container_type,warnings
채용모델 면접문항,interview-model,49,MN02020303,20221230141754307,NCS 직무수행능력 면접문항,,NCS 직무수행능력,,3,경험면접; 발표면접; 상황면접,경험면접; 발표면접; 상황면접,경험면접; 발표면접; 상황면접,3,evaluation_form; task,document,True,True,.tmp\ncs_official_interview_samples\20221230141754307_NCS 직무수행능력 면접문항.pdf,.tmp\ncs_official_interview_samples\20221230141754307_NCS 직무수행능력 면접문항.pdf,.pdf,document,
채용모델 면접문항,interview-model,49,MN02020303,20220114104916317,"22-1-1. 출판(경험, 상황, 발표, 토론면접)",22-01-01,출판,"22-1-1. 출판(경험, 상황, 발표, 토론면접)",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; other; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104916317_22-1-1. 출판(경험, 상황, 발표, 토론면접).zip",".tmp\ncs_official_interview_samples\20220114104916317_22-1-1. 출판(경험, 상황, 발표, 토론면접).zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20220114104806115,"20-2-3. 통신서비스(경험, 상황, 발표, 토론면접)",20-02-03,통신서비스,"20-2-3. 통신서비스(경험, 상황, 발표, 토론면접)",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; other; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104806115_20-2-3. 통신서비스(경험, 상황, 발표, 토론면접).zip",".tmp\ncs_official_interview_samples\20220114104806115_20-2-3. 통신서비스(경험, 상황, 발표, 토론면접).zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20220114104713612,"20-1-3. 정보기술운영(경험, 상황, 발표, 토론면접)_2021",20-01-03,정보기술운영 _2021,"20-1-3. 정보기술운영(경험, 상황, 발표, 토론면접)_2021",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; other; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104713612_20-1-3. 정보기술운영(경험, 상황, 발표, 토론면접)_2021.zip",".tmp\ncs_official_interview_samples\20220114104713612_20-1-3. 정보기술운영(경험, 상황, 발표, 토론면접)_2021.zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20220114104615099,"19-2-3. 전자제품고객지원(경험, 상황, 발표, 토론면접)",19-02-03,전자제품고객지원,"19-2-3. 전자제품고객지원(경험, 상황, 발표, 토론면접)",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104615099_19-2-3. 전자제품고객지원(경험, 상황, 발표, 토론면접).zip",".tmp\ncs_official_interview_samples\20220114104615099_19-2-3. 전자제품고객지원(경험, 상황, 발표, 토론면접).zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20220114104459812,"14-4-1. 플랜트설계·감리(경험, 상황, 발표, 토론면접)",14-04-01,플랜트설계·감리,"14-4-1. 플랜트설계&middot;감리(경험, 상황, 발표, 토론면접)",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; other; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104459812_14-4-1. 플랜트설계·감리(경험, 상황, 발표, 토론면접).zip",".tmp\ncs_official_interview_samples\20220114104459812_14-4-1. 플랜트설계·감리(경험, 상황, 발표, 토론면접).zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20220114104313460,"6-1-2. 보건지원(경험, 상황, 발표, 토론면접)_2021",06-01-02,보건지원 _2021,"6-1-2. 보건지원(경험, 상황, 발표, 토론면접)_2021",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104313460_6-1-2. 보건지원(경험, 상황, 발표, 토론면접)_2021.zip",".tmp\ncs_official_interview_samples\20220114104313460_6-1-2. 보건지원(경험, 상황, 발표, 토론면접)_2021.zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20220114104232622,"6-1-1. 의료기술지원(경험, 상황, 발표, 토론면접)_2021",06-01-01,의료기술지원 _2021,"6-1-1. 의료기술지원(경험, 상황, 발표, 토론면접)_2021",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; other; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104232622_6-1-1. 의료기술지원(경험, 상황, 발표, 토론면접)_2021.zip",".tmp\ncs_official_interview_samples\20220114104232622_6-1-1. 의료기술지원(경험, 상황, 발표, 토론면접)_2021.zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20220114104130666,"5-2-1. 소방(경험, 상황, 발표, 토론면접)_2021",05-02-01,소방 _2021,"5-2-1. 소방(경험, 상황, 발표, 토론면접)_2021",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; other; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104130666_5-2-1. 소방(경험, 상황, 발표, 토론면접)_2021.zip",".tmp\ncs_official_interview_samples\20220114104130666_5-2-1. 소방(경험, 상황, 발표, 토론면접)_2021.zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20220114104037897,"2-1-1. 경영기획(경험, 상황, 발표, 토론면접)_2021",02-01-01,경영기획 _2021,"2-1-1. 경영기획(경험, 상황, 발표, 토론면접)_2021",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; job_posting; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104037897_2-1-1. 경영기획(경험, 상황, 발표, 토론면접)_2021.zip",".tmp\ncs_official_interview_samples\20220114104037897_2-1-1. 경영기획(경험, 상황, 발표, 토론면접)_2021.zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20220114103649159,"1-1-1. 프로젝트관리(경험, 상황, 발표, 토론면접)_2021",01-01-01,프로젝트관리 _2021,"1-1-1. 프로젝트관리(경험, 상황, 발표, 토론면접)_2021",8,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; other; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114103649159_1-1-1. 프로젝트관리(경험, 상황, 발표, 토론면접)_2021.zip",".tmp\ncs_official_interview_samples\20220114103649159_1-1-1. 프로젝트관리(경험, 상황, 발표, 토론면접)_2021.zip",.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514160304552,23-1-2. 대기관리(토론면접),23-01-02,대기관리,23-1-2. 대기관리(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514160304552_23-1-2. 대기관리(토론면접).zip,.tmp\ncs_official_interview_samples\20210514160304552_23-1-2. 대기관리(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514160235627,23-1-2. 대기관리(상황면접),23-01-02,대기관리,23-1-2. 대기관리(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514160235627_23-1-2. 대기관리(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514160235627_23-1-2. 대기관리(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514160214104,23-1-2. 대기관리(발표면접),23-01-02,대기관리,23-1-2. 대기관리(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514160214104_23-1-2. 대기관리(발표면접).zip,.tmp\ncs_official_interview_samples\20210514160214104_23-1-2. 대기관리(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514160152594,23-1-2. 대기관리(경험면접),23-01-02,대기관리,23-1-2. 대기관리(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514160152594_23-1-2. 대기관리(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514160152594_23-1-2. 대기관리(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514160119393,20-2-4. 실감형콘텐츠제작(토론면접),20-02-04,실감형콘텐츠제작,20-2-4. 실감형콘텐츠제작(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514160119393_20-2-4. 실감형콘텐츠제작(토론면접).zip,.tmp\ncs_official_interview_samples\20210514160119393_20-2-4. 실감형콘텐츠제작(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514160056094,20-2-4. 실감형콘텐츠제작(상황면접),20-02-04,실감형콘텐츠제작,20-2-4. 실감형콘텐츠제작(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514160056094_20-2-4. 실감형콘텐츠제작(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514160056094_20-2-4. 실감형콘텐츠제작(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514160036179,20-2-4. 실감형콘텐츠제작(발표면접),20-02-04,실감형콘텐츠제작,20-2-4. 실감형콘텐츠제작(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514160036179_20-2-4. 실감형콘텐츠제작(발표면접).zip,.tmp\ncs_official_interview_samples\20210514160036179_20-2-4. 실감형콘텐츠제작(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155916222,20-2-4. 실감형콘텐츠제작(경험면접),20-02-04,실감형콘텐츠제작,20-2-4. 실감형콘텐츠제작(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155916222_20-2-4. 실감형콘텐츠제작(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514155916222_20-2-4. 실감형콘텐츠제작(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155826495,20-1-2. 정보기술개발(토론면접),20-01-02,정보기술개발,20-1-2. 정보기술개발(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155826495_20-1-2. 정보기술개발(토론면접).zip,.tmp\ncs_official_interview_samples\20210514155826495_20-1-2. 정보기술개발(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155800719,20-1-2. 정보기술개발(상황면접),20-01-02,정보기술개발,20-1-2. 정보기술개발(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155800719_20-1-2. 정보기술개발(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514155800719_20-1-2. 정보기술개발(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155741790,20-1-2. 정보기술개발(발표면접),20-01-02,정보기술개발,20-1-2. 정보기술개발(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155741790_20-1-2. 정보기술개발(발표면접).zip,.tmp\ncs_official_interview_samples\20210514155741790_20-1-2. 정보기술개발(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155721201,20-1-2. 정보기술개발(경험면접),20-01-02,정보기술개발,20-1-2. 정보기술개발(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155721201_20-1-2. 정보기술개발(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514155721201_20-1-2. 정보기술개발(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155645995,19-1-6. 전기설비설계감리(토론면접),19-01-06,전기설비설계감리,19-1-6. 전기설비설계감리(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155645995_19-1-6. 전기설비설계감리(토론면접).zip,.tmp\ncs_official_interview_samples\20210514155645995_19-1-6. 전기설비설계감리(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155619314,19-1-6. 전기설비설계감리(상황면접),19-01-06,전기설비설계감리,19-1-6. 전기설비설계감리(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155619314_19-1-6. 전기설비설계감리(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514155619314_19-1-6. 전기설비설계감리(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155558869,19-1-6. 전기설비설계감리(발표면접),19-01-06,전기설비설계감리,19-1-6. 전기설비설계감리(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155558869_19-1-6. 전기설비설계감리(발표면접).zip,.tmp\ncs_official_interview_samples\20210514155558869_19-1-6. 전기설비설계감리(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155531876,19-1-6. 전기설비설계감리(경험면접),19-01-06,전기설비설계감리,19-1-6. 전기설비설계감리(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155531876_19-1-6. 전기설비설계감리(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514155531876_19-1-6. 전기설비설계감리(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155413020,15-5-1. 기계장비설치정비(토론면접),15-05-01,기계장비설치정비,15-5-1. 기계장비설치정비(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155413020_15-5-1. 기계장비설치정비(토론면접).zip,.tmp\ncs_official_interview_samples\20210514155413020_15-5-1. 기계장비설치정비(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155339419,15-5-1. 기계장비설치정비(상황면접),15-05-01,기계장비설치정비,15-5-1. 기계장비설치정비(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155339419_15-5-1. 기계장비설치정비(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514155339419_15-5-1. 기계장비설치정비(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155319781,15-5-1. 기계장비설치정비(발표면접),15-05-01,기계장비설치정비,15-5-1. 기계장비설치정비(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155319781_15-5-1. 기계장비설치정비(발표면접).zip,.tmp\ncs_official_interview_samples\20210514155319781_15-5-1. 기계장비설치정비(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155256015,15-5-1. 기계장비설치정비(경험면접),15-05-01,기계장비설치정비,15-5-1. 기계장비설치정비(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155256015_15-5-1. 기계장비설치정비(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514155256015_15-5-1. 기계장비설치정비(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155218319,15-3-1. 기계조립(토론면접),15-03-01,기계조립,15-3-1. 기계조립(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155218319_15-3-1. 기계조립(토론면접).zip,.tmp\ncs_official_interview_samples\20210514155218319_15-3-1. 기계조립(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155152476,15-3-1. 기계조립(상황면접),15-03-01,기계조립,15-3-1. 기계조립(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155152476_15-3-1. 기계조립(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514155152476_15-3-1. 기계조립(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155131656,15-3-1. 기계조립(발표면접),15-03-01,기계조립,15-3-1. 기계조립(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155131656_15-3-1. 기계조립(발표면접).zip,.tmp\ncs_official_interview_samples\20210514155131656_15-3-1. 기계조립(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514155105084,15-3-1. 기계조립(경험면접),15-03-01,기계조립,15-3-1. 기계조립(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514155105084_15-3-1. 기계조립(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514155105084_15-3-1. 기계조립(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514155025488,14-3-2. 건축시공(토론면접),14-03-02,건축시공,14-3-2. 건축시공(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514155025488_14-3-2. 건축시공(토론면접).zip,.tmp\ncs_official_interview_samples\20210514155025488_14-3-2. 건축시공(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514154956719,14-3-2. 건축시공(상황면접),14-03-02,건축시공,14-3-2. 건축시공(상황면접),1,상황면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514154956719_14-3-2. 건축시공(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514154956719_14-3-2. 건축시공(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514154938308,14-3-2. 건축시공(발표면접),14-03-02,건축시공,14-3-2. 건축시공(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514154938308_14-3-2. 건축시공(발표면접).zip,.tmp\ncs_official_interview_samples\20210514154938308_14-3-2. 건축시공(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514154913910,14-3-2. 건축시공(경험면접),14-03-02,건축시공,14-3-2. 건축시공(경험면접),1,경험면접,,,1,other,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514154913910_14-3-2. 건축시공(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514154913910_14-3-2. 건축시공(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514154837243,13-1-1. 음식조리(토론면접),13-01-01,음식조리,13-1-1. 음식조리(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514154837243_13-1-1. 음식조리(토론면접).zip,.tmp\ncs_official_interview_samples\20210514154837243_13-1-1. 음식조리(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514154810012,13-1-1. 음식조리(상황면접),13-01-01,음식조리,13-1-1. 음식조리(상황면접),1,상황면접,,상황면접,1,evaluation_form,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514154810012_13-1-1. 음식조리(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514154810012_13-1-1. 음식조리(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514154752218,13-1-1. 음식조리(발표면접),13-01-01,음식조리,13-1-1. 음식조리(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514154752218_13-1-1. 음식조리(발표면접).zip,.tmp\ncs_official_interview_samples\20210514154752218_13-1-1. 음식조리(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514154717560,13-1-1. 음식조리(경험면접),13-01-01,음식조리,13-1-1. 음식조리(경험면접),1,경험면접,,경험면접,1,evaluation_form,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514154717560_13-1-1. 음식조리(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514154717560_13-1-1. 음식조리(경험면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514150552711,10-2-4. 감정평가(토론면접),10-02-04,감정평가,10-2-4. 감정평가(토론면접),8,토론면접,토론면접,토론면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514150552711_10-2-4. 감정평가(토론면접).zip,.tmp\ncs_official_interview_samples\20210514150552711_10-2-4. 감정평가(토론면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514150529245,10-2-4. 감정평가(상황면접),10-02-04,감정평가,10-2-4. 감정평가(상황면접),1,상황면접,,상황면접,1,evaluation_form,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514150529245_10-2-4. 감정평가(상황면접).hwp,.tmp\ncs_official_interview_samples\20210514150529245_10-2-4. 감정평가(상황면접).hwp,.hwp,document,
채용모델 면접문항,interview-model,49,MN02020303,20210514150508001,10-2-4. 감정평가(발표면접),10-02-04,감정평가,10-2-4. 감정평가(발표면접),8,발표면접,발표면접,발표면접,1,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20210514150508001_10-2-4. 감정평가(발표면접).zip,.tmp\ncs_official_interview_samples\20210514150508001_10-2-4. 감정평가(발표면접).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20210514150341901,10-2-4. 감정평가(경험면접),10-02-04,감정평가,10-2-4. 감정평가(경험면접),1,경험면접,,경험면접,1,evaluation_form,archive_members,False,False,.tmp\ncs_official_interview_samples\20210514150341901_10-2-4. 감정평가(경험면접).hwp,.tmp\ncs_official_interview_samples\20210514150341901_10-2-4. 감정평가(경험면접).hwp,.hwp,document,
