collection,collection_id,seq,title,member,suffix,method,method_source,method_context_source,method_context_chars,artifact_type,artifact_types,chars,has_task_prompt,has_evaluation_form,has_candidate_instruction,has_interviewer_instruction,has_time_limit,has_scoring_criteria,has_rating_scale,task_prompt_style,followup_section_labels,prep_minutes,presentation_minutes,qa_minutes,discussion_minutes,rating_scale_labels,evaluation_elements,terms
채용모델 면접문항,interview-model,20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_발표면접 과제.hwp,.hwp,발표면접,filename,full_document,9609,task,task,9609,True,False,False,False,False,True,False,presentation_materials,,,,,,80,,
채용모델 면접문항,interview-model,20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,인공지능_발표면접 평가양식.hwp,.hwp,발표면접,filename,full_document,1221,evaluation_form,evaluation_form,1221,True,True,False,True,False,False,True,presentation_materials,,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,,평가양식
채용모델 면접문항,interview-model,20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),경험면접 과제.hwp,.hwp,경험면접,filename,full_document,11314,task,task,11314,True,False,False,False,False,False,False,experience_or_similar_training_case,질문,,,,,부족,,
채용모델 면접문항,interview-model,20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),경험면접 평가양식.hwp,.hwp,경험면접,filename,full_document,7949,evaluation_form,evaluation_form,7949,False,True,False,True,False,True,True,experience_star_probe,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,제품정보 기술서 해독 지식; 시장조사 및 분석 방법론; 제품시장분석보고서; 온오프라인 시장조사기관 정보; 선행사 성공사례 분석(Case Study); 성능지침서(Spec. Sheet) 해독 지식; 특허 제품 검색; 설계 반도체 제품이 적용되는 응용처에 관한 지식; 반도체 제품 사양 및 각 기능별 동작 특성; 반도체 소자의 동작 특성,평가양식
채용모델 면접문항,interview-model,20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),발표면접 과제.hwp,.hwp,발표면접,filename,full_document,6146,task,task,6146,True,False,False,False,True,False,False,presentation_materials,,,,,,80,,
채용모델 면접문항,interview-model,20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),발표면접 평가양식.hwp,.hwp,발표면접,filename,full_document,6969,evaluation_form,evaluation_form,6969,True,True,False,True,False,True,True,presentation_materials,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,제품정보 기술서 해독 지식; 시장조사 및 분석 방법론; 제품시장분석보고서; 온오프라인 시장조사기관 정보; 선행사 성공사례 분석(Case Study); 성능지침서(Spec. Sheet) 해독 지식; 특허 제품 검색; 설계 반도체 제품이 적용되는 응용처에 관한 지식; 반도체 제품 사양 및 각 기능별 동작 특성; 반도체 소자의 동작 특성,평가양식
채용모델 면접문항,interview-model,20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_경험면접 과제.hwp,.hwp,경험면접,filename,full_document,12475,task,task; evaluation_form,12475,True,False,False,False,False,True,False,experience_or_similar_training_case,질문,,,,,,에 따라 판정해 본 경험에 대하여 말씀해 주시기 바랍니다. (관련 경력이 없을 경우 유사 경험; 관련 교육과정 중 해당 사례의 학습 경험을 질문) I. 자율주행 환경 조건에 대한 상황 판단과 경로생성 제어모듈의 분석결과를 성능평가 항목에 따; 관련 교육과정 중 해당 사례의 학습 경험을 질문) 능력단위 3. 자율주행 안전편의 모듈시험; 능력 단위; 자율주행 안전편의 모듈시험; 정의; 자율주행자동차에 탑재된 등화; 안전; 편의; 상황 판단,"에 따라 판정해 본 경험에 대하여 말씀해 주시기 바랍니다. (관련 경력이 없을 경우 유사 경험, 관련 교육과정 중 해당 사례의 학습 경험을 질문"
채용모델 면접문항,interview-model,20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_경험면접 평가양식.hwp,.hwp,경험면접,filename,full_document,1674,evaluation_form,evaluation_form,1674,False,True,False,True,False,False,True,experience_star_probe,,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,문제해결,평가양식
채용모델 면접문항,interview-model,20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_발표면접 과제.hwp,.hwp,발표면접,filename,full_document,10089,task,task,10089,True,False,False,False,False,False,False,presentation_materials,,,,,,,,
채용모델 면접문항,interview-model,20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_발표면접 평가양식.hwp,.hwp,발표면접,filename,full_document,1061,evaluation_form,evaluation_form,1061,True,True,False,True,False,False,True,presentation_materials,,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,,평가양식
채용모델 면접문항,interview-model,20230426170921332,19-3-8. 로봇개발 면접과제 및 평가양식,경험면접 과제.hwp,.hwp,경험면접,filename,full_document,11443,task,task,11443,True,False,False,False,False,False,False,experience_or_similar_training_case,질문,,,,,,의사결정,
채용모델 면접문항,interview-model,20230426170921332,19-3-8. 로봇개발 면접과제 및 평가양식,경험면접 평가양식.hwp,.hwp,경험면접,filename,full_document,7767,evaluation_form,evaluation_form,7767,False,True,False,True,False,True,True,experience_star_probe,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,요구 사항 명세에 대한 해석 지식; 전기전자 부품의 종류 및 특성에 대한 지식; 측정 장비 사용법에 대한 지식; 하드웨어 동작 원리 및 정상 동작 여부 판단 기준에 대한 지식; 시험 절차서 해석에 대한 지식; 측정 장비 사용법에; 로봇 시스템에 대한 전기적 기계적 특성에 관한 지식 (로봇 기구학; 로봇 공학; 제어이론; 신뢰성 시험방법,평가양식
채용모델 면접문항,interview-model,20230426170921332,19-3-8. 로봇개발 면접과제 및 평가양식,발표면접 과제.hwp,.hwp,발표면접,filename,full_document,5925,task,task,5925,True,False,True,False,False,False,True,presentation_materials,,,,,,90; 100,,
채용모델 면접문항,interview-model,20230426170921332,19-3-8. 로봇개발 면접과제 및 평가양식,발표면접 평가양식.hwp,.hwp,발표면접,filename,full_document,6772,evaluation_form,evaluation_form,6772,True,True,False,True,False,True,True,presentation_materials,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,요구 사항 명세에 대한 해석 지식; 전기전자 부품의 종류 및 특성에 대한 지식; 측정 장비 사용법에 대한 지식; 하드웨어 동작 원리 및 정상 동작 여부 판단 기준에 대한 지식; 시험 절차서 해석에 대한 지식; 측정 장비 사용법에; 로봇 시스템에 대한 전기적 기계적 특성에 관한 지식 (로봇 기구학; 로봇 공학; 제어이론; 신뢰성 시험방법,평가양식
채용모델 면접문항,interview-model,20230426170843605,15-11-1. 스마트공장생산설계 면접과제 및 평가양식(22년 고도화),스마트공장설계_경험면접 과제.hwp,.hwp,경험면접,filename,full_document,10913,task,task,10913,True,False,False,False,False,False,False,experience_or_similar_training_case,질문,,,,,,,
채용모델 면접문항,interview-model,20230426170843605,15-11-1. 스마트공장생산설계 면접과제 및 평가양식(22년 고도화),스마트공장설계_경험면접 평가양식.hwp,.hwp,경험면접,filename,full_document,1753,evaluation_form,evaluation_form,1753,False,True,False,True,False,False,True,experience_star_probe,,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,문제해결,평가양식
채용모델 면접문항,interview-model,20230426170843605,15-11-1. 스마트공장생산설계 면접과제 및 평가양식(22년 고도화),스마트공장설계_발표면접 과제.hwp,.hwp,발표면접,filename,full_document,12091,task,task,12091,True,False,False,False,False,False,False,presentation_materials,,,,,,부족,의사결정,
채용모델 면접문항,interview-model,20230426170843605,15-11-1. 스마트공장생산설계 면접과제 및 평가양식(22년 고도화),스마트공장설계_발표면접 평가양식.hwp,.hwp,발표면접,filename,full_document,1652,evaluation_form,evaluation_form,1652,True,True,False,True,False,False,True,presentation_materials,,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,,평가양식
채용모델 면접문항,interview-model,20230426170800610,23-6-2. 산업안전보건관리 면접과제 및 평가양식(22년 고도화),경험면접 과제.hwp,.hwp,경험면접,filename,full_document,17567,task,task; evaluation_form,17567,True,True,False,False,False,False,False,experience_or_similar_training_case,질문,,,,,부족,은 무엇이라고 생각하였습니까?; 분석에 있어서 가장 어려웠던 점은 무엇이었습니까? [행동]; 과업 수행 과정에서 가장 힘든 점은 무엇이었습니까?; 직면한 문제를 해결하기 위하여 어떤 노력을 하였습니까?; 그 역할 또는 과제를 보다 효과적으로 수행하기 위해 어떤 노력을 했습니까?; 다른,은 무엇이라고 생각하였습니까? ·분석에 있어서 가장 어려웠던 점은 무엇이었습니까? [행동] ·과업 수행 과정에서 가장 힘든 점은 무엇이었습니까?
채용모델 면접문항,interview-model,20230426170800610,23-6-2. 산업안전보건관리 면접과제 및 평가양식(22년 고도화),경험면접 평가양식.hwp,.hwp,경험면접,filename,full_document,7792,evaluation_form,evaluation_form,7792,False,True,False,True,False,True,True,experience_star_probe,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,환경보건법; 환경보건센터 운영 규정; 화학물질관리법; 화학물질의 등록 및 평가 등에 관한 법률; 환경유해인자에 관한 지식; 환경보건에 대한 기본지식; 환경성 질환에 대한 지식; 환경유해인자에 대한 측정; 분석 지식 ■ 기본정보; 능력 단위,평가양식
채용모델 면접문항,interview-model,20230426170800610,23-6-2. 산업안전보건관리 면접과제 및 평가양식(22년 고도화),발표면접 과제.hwp,.hwp,발표면접,filename,full_document,4092,task,task,4092,True,False,False,False,False,False,False,presentation_materials,,,,,,100,강화교육 실시에 대한 내용입니다. 해당교육을 계획하고 시행하고자 할 때 포함할 항목과 내용에 대해 계획을 정리하여 발표하시기 바랍니다. OO군은; 을 강화하고 안전의 생활화가 이뤄질 수 있도록 지속적으로 교육과정을 운영해 나가겠다” 고 말했다. 과제 14. 다음은 전통적 안전보건 활동과 안,강화교육 실시에 대한 내용입니다. 해당교육을 계획하고 시행하고자 할 때 포함할 항목과 내용에 대해 계획을 정리하여 발표하시기 바랍니다. OO군은; 강화교육’을 실시했다. 이번 교육은 중대재해처벌법 시행 이후 OO군수의 특별지시에 따라 마련됐으며 공무원 등을 대상으로 정기적으로 운영하고 있다; 을 강화하고 안전의 생활화가 이뤄질 수 있도록 지속적으로 교육과정을 운영해 나가겠다” 고 말했다. 과제 14. 다음은 전통적 안전보건 활동과 안
채용모델 면접문항,interview-model,20230426170800610,23-6-2. 산업안전보건관리 면접과제 및 평가양식(22년 고도화),발표면접 평가양식.hwp,.hwp,발표면접,filename,full_document,6807,evaluation_form,evaluation_form,6807,True,True,False,True,False,True,True,presentation_materials_qna,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,환경보건법; 환경보건센터 운영 규정; 화학물질관리법; 화학물질의 등록 및 평가 등에 관한 법률; 환경유해인자에 관한 지식; 환경보건에 대한 기본지식; 환경성 질환에 대한 지식; 환경유해인자에 대한 측정; 분석 지식 ■ 기본정보; 능력 단위,평가양식
채용모델 면접문항,interview-model,20230426170709465,2-2-2. 인사조직 면접과제 및 평가양식(22년 고도화),경험면접 과제.hwp,.hwp,경험면접,filename,full_document,10320,task,task; job_posting,10320,True,False,False,False,False,True,True,experience_or_similar_training_case,질문,,,,,우수; 부족,향상을 지원하는 능력이다.; 주 질문 심층 질문 A. 본인이 속한 조직 내 인재상과 전략방향을 분석해 본 경험에 대하여 말씀해 주시기 바랍니다. (관련 경력이 없을 경우 유; 관련 교육과정 중 해당 사례의 학습 경험을 질문) [경험,향상을 지원하는 능력이다. | | --- | --- | --- | --- | 주 질문 심층 질문 A. 본인이 속한 조직 내 인재상과 전략방향을
채용모델 면접문항,interview-model,20230426170709465,2-2-2. 인사조직 면접과제 및 평가양식(22년 고도화),경험면접 평가양식.hwp,.hwp,경험면접,filename,full_document,7378,evaluation_form,evaluation_form; job_description,7378,False,True,True,True,False,True,True,experience_star_probe,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,직무분석방법론; 사업별 가치사슬 분석법; 직무조사 설문지 설계기술; 인터뷰 기술; 직무기술서 작성 기술; 직무평가법; 직무기반 인사제도 설계 방법; 직무평가 관련 자료 조사 및 분석 능력; 직무분류체계 및 직무 종류; 조직 전략 ■ 기본정보,모델링 • 경력개발방법론 • 성과지표 • 평가제도 • 프레젠테이션 기술 • 면담기법 ■ 기본정보 | 능력단위 | 의사소통능력 | 정의 | 업무를; 평가양식
채용모델 면접문항,interview-model,20230426170709465,2-2-2. 인사조직 면접과제 및 평가양식(22년 고도화),발표면접 과제.hwp,.hwp,발표면접,filename,full_document,13060,task,task; evaluation_form,13060,True,True,True,True,False,True,True,presentation_materials,질문,,,,,양호; 부족; 100; 80; 60,를 결정하는 것에서부터 진행해야 하는데; 평가요소 결정을 위해 구성원에 대한 필요 역량을 규명해야 합니다. 지원자는 A기관의 인사평가 업무를 진행해야 하는 담당자입니다. 주어진 자료를 ; 구성 양식] 1) 평가요소 2) 요소 정의 3) 평가기준 4) 평가척도 1) 평가요소: 평가요소 명을 기재합니다. 2) 요소 정의: 평가요소 별; 수준을 보유한다고 보기 어렵다. 과제 2. 인사평가는 현재 조직 구성원 또는 잠재적 조직 구성원을 대상으로 역량 보유 정도를 평가하여 핵심 의사; 보상 정도; 직무 배치; 승진 여부 등을 결정하기 위한 선; 을 규명해야 합니다. 지원자는 A기관의 인사평가 업무를 진행해야 하는 담당자입니다. 주어진 자료를 분석하여 ‘정보분석 전문가 직무’의 필요 역량; 기타 요건 등을 도출하는 작업이 직무분석이라 할 수 있습니다. 제시된 자료를 참고하여 직무분석의 핵심 절차를 구성하여 발표하시기 바랍니다. [직; 과 기타 자격 및 요건 등을 도출할 수 있습니다. 일반적으로 직무분석을 통해 도출되는 자료에는 직무명세서가 있는데,"를 결정하는 것에서부터 진행해야 하는데, 평가요소 결정을 위해 구성원에 대한 필요 역량을 규명해야 합니다. 지원자는 A기관의 인사평가 업무를 진; 를 구성하여 발표하시기 바랍니다. [평가요소 구성 양식] 1) 평가요소 2) 요소 정의 3) 평가기준 4) 평가척도 1) 평가요소: 평가요소 명; 별 조작적 정의를 정리합니다. 3) 평가기준: 평가요소에 포함되는 세부 요소를 구분하여 기재합니다. 4) 평가척도: 평가요소 별 배점 및 등급; 수준을 보유한다고 보기 어렵다. 과제 2. 인사평가는 현재 조직 구성원 또는 잠재적 조직 구성원을 대상으로 역량 보유 정도를 평가하여 핵심 의사; 을 규명해야 합니다. 지원자는 A기관의 인사평가 업무를 진행해야 하는 담당자입니다. 주어진 자료를 분석하여 ‘정보분석 전문가 직무’의 필요 역량; , 기타 요건 등을 도출하는 작업이 직무분석이라 할 수 있습니다. 제시된 자료를 참고하여 직무분석의 핵심 절차를 구성하여 발표하시기 바랍니다.; 과 기타 자격 및 요건 등을 도출할 수 있습니다. 일반적으로 직무분석을 통해 도출되는 자료에는 직무명세서가 있는데, 직무명세서를 기초로 구성원들; , 자격 등을 검토하여 직무배치를 진행합니다. 제시된 자료를 참고하여 조직 내 구성원에게 특정 직무를 배치하는 과정에서 반드시 고려해야 하는 사"
채용모델 면접문항,interview-model,20230426170709465,2-2-2. 인사조직 면접과제 및 평가양식(22년 고도화),발표면접 평가양식.hwp,.hwp,발표면접,filename,full_document,6348,evaluation_form,evaluation_form; job_description,6348,True,True,True,True,False,True,True,presentation_materials,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,직무분석방법론; 사업별 가치사슬 분석법; 직무조사 설문지 설계기술; 인터뷰 기술; 직무기술서 작성 기술; 직무평가법; 직무기반 인사제도 설계 방법; 직무평가 관련 자료 조사 및 분석 능력; 직무분류체계 및 직무 종류; 조직 전략 ■ 기본정보,모델링 • 경력개발방법론 • 성과지표 • 평가제도 • 프레젠테이션 기술 • 면담기법 ■ 기본정보 | 능력단위 | 의사소통능력 | 정의 | 업무를; 평가양식
채용모델 면접문항,interview-model,20230426170628517,20-1-8. 블록체인 면접과제 및 평가양식,블록체인_경험면접 과제.hwp,.hwp,경험면접,filename,full_document,12409,task,task,12409,True,False,False,False,False,False,False,experience_or_similar_training_case,질문,,,,,,,
채용모델 면접문항,interview-model,20230426170628517,20-1-8. 블록체인 면접과제 및 평가양식,블록체인_경험면접 평가양식.hwp,.hwp,경험면접,filename,full_document,1759,evaluation_form,evaluation_form,1759,False,True,False,True,False,False,True,experience_star_probe,,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,문제해결,평가양식
채용모델 면접문항,interview-model,20230426170628517,20-1-8. 블록체인 면접과제 및 평가양식,블록체인_발표면접 과제.hwp,.hwp,발표면접,filename,full_document,12713,task,task,12713,True,False,False,False,False,False,True,presentation_materials,,,,,,보통,의사결정,
채용모델 면접문항,interview-model,20230426170628517,20-1-8. 블록체인 면접과제 및 평가양식,블록체인_발표면접 평가양식.hwp,.hwp,발표면접,filename,full_document,1227,evaluation_form,evaluation_form,1227,False,True,False,True,False,False,True,presentation_materials,,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,,평가양식
채용모델 면접문항,interview-model,20221230141754307,NCS 직무수행능력 면접문항,20221230141754307_NCS 직무수행능력 면접문항.pdf,.pdf,경험면접,document_text,document_section,132089,task,task; evaluation_form,603459,True,True,True,True,True,True,True,experience_or_similar_training_case,질문,,,,,탁월; 우수; 보통; 미흡; 부족; 100; 80; 70; 90,Ÿ 제품규격 Ÿ 주요 선행특허의 특징과 내용을 파악할 수 있는 공학적 지식 Ÿ 디스플레이 공정기술에 대한 지식 Ÿ 디스플레이 생산기술에 대한 지; 재료에 관한 지식 Ÿ 제품 규격 Ÿ 패널 구조 능; Ÿ TAB 공정 원리 Ÿ TAB 공정 장비; 부품에 대한 지식 Ÿ TAB 공정 재료에 대한 지식 Ÿ TAB 공정 평가에 대한 지식 Ÿ 계측장비에 대한 지식 Ÿ COG 공정 원리 Ÿ COG ; 부품에 대한 지식 Ÿ COG 공정 재료에 대한 지식 Ÿ COG 공정 평가에 대한 지식 Ÿ; 하는 능력이다.; Ÿ; 개발제품의 단위 공정에 대한 지식; Ÿ 전기적 제품 규격; 개발제품의 집적 공정에 대한 지식,강화교육 실시에 대한 내용입니다. 해당 교육을 계획하고 시행하고자 할 때 포함할 항목과 내용에 대해 계획을 정리하여 발표 하시기 바랍니다. OO; 강화교육’을 실시했다. 이번 교육은 중대재해처벌법 시행 이후 OO군수의 특별지시에 따라 마련됐으며 공무원 등을 대상으로 정기적으로 운영하고 있다; 을 강화하고 안전의 생활화가 이뤄질 수 있도록 지속적으로 교육과정을 운영해 나가겠다” 고 말했다. 다음은 전통적 안전보건 활동과 안전보건관리체계; 모델링 Ÿ 경력개발방법론 Ÿ 성과지표 Ÿ 평가제도 Ÿ 프레젠테이션 기술 Ÿ 면담기법 능력 의사소통능력 단위 업무를 수행함에 있어 글과 말을 읽고; 을 파악할 수 있다. 평균 점수 n 평가 주안점 Ÿ 정보통신기기 이론 Ÿ 설계기준 Ÿ 시장동향 분석 Ÿ 회로설계에 대한 국내외 규격 Ÿ 설계기준; 평가양식
채용모델 면접문항,interview-model,20221230141754307,NCS 직무수행능력 면접문항,20221230141754307_NCS 직무수행능력 면접문항.pdf,.pdf,상황면접,document_text,document_section,245498,task,task; evaluation_form,603459,True,True,True,True,True,True,True,work_situation_judgment,질문,,,,,탁월; 우수; 보통; 미흡; 부족; 100; 80; 70,면접문항 주질문 심층질문 체계적으로 분석하려는 태도 최근 체계적 분석을 통해 원인을 찾았던 사례를 설명해 주시기 바랍니다. 분석을 위해 말씀하신; 직무수행능력 -질문예시 中 “블록체인 분석; 설계”기술 상황제시 배경정보 블록체인분석; 설계 직무 중에는 블록체인 프로토타입 개발 업무를 수행하여야 합니다. 당신은 블록체인 프로토타입 개발 업무를 담당하고 있습니다. 구체적문제상황 ; 면접문항 주질문 심층질문 적극적인자료수집 정보를 정확히 파악하기 위해 적극적으로 자료수집을 했던 사례를 말씀해 주시기 바랍니다. 어느 정도의 정; 직무수행능력 -질문예시 中 “스마트센서 활용설계”기술 상황제시 배경정보 스마트공장설계 직무를 위해서는 스마트센서 활용설계 업무를 수행하여야 합니; 면접문항 주질문 심층질문 개선을 위해 노력하는 태도 불편함을 해소하기 위해 행동했던 사례를 말씀해 주시기 바랍니다. 불편함의 상황에 대해 말씀해; 직무수행능력 -질문예시 中 “인공지능서비스 테스트”기술 상황제시 배경정보 인공지능 직무를 위해서는 인공지능서비스 테스트 업무를 수행하여야 합니다; 면접문항 주질문 심층질문 업무수행의적극성 누가 시키지 않았음에도 불구하고 자발적으로 행동했던 사례를 말씀해 주시기 바랍니다. 자발적으로 행동을 ; 직무수행능력 -질문예시 中 “자율주행 안전편의 모듈 시험”지식 상황제시 배경정보 자율주행개발 직무를 위해서는 자율주행 안전편의모듈시험 업무를 수,면접문항 주질문 심층질문 체계적으로 분석하려는 태도 최근 체계적 분석을 통해 원인을 찾았던 사례를 설명해 주시기 바랍니다. 분석을 위해 말씀하신; 직무수행능력 -질문예시 中 “블록체인 분석·설계”기술 상황제시 배경정보 블록체인분석·설계 직무 중에는 블록체인 프로토타입 개발 업무를 수행하여야; 면접문항 주질문 심층질문 적극적인자료수집 정보를 정확히 파악하기 위해 적극적으로 자료수집을 했던 사례를 말씀해 주시기 바랍니다. 어느 정도의 정; 직무수행능력 -질문예시 中 “스마트센서 활용설계”기술 상황제시 배경정보 스마트공장설계 직무를 위해서는 스마트센서 활용설계 업무를 수행하여야 합니; 면접문항 주질문 심층질문 개선을 위해 노력하는 태도 불편함을 해소하기 위해 행동했던 사례를 말씀해 주시기 바랍니다. 불편함의 상황에 대해 말씀해; 직무수행능력 -질문예시 中 “인공지능서비스 테스트”기술 상황제시 배경정보 인공지능 직무를 위해서는 인공지능서비스 테스트 업무를 수행하여야 합니다; 면접문항 주질문 심층질문 업무수행의적극성 누가 시키지 않았음에도 불구하고 자발적으로 행동했던 사례를 말씀해 주시기 바랍니다. 자발적으로 행동을; 직무수행능력 -질문예시 中 “자율주행 안전편의 모듈 시험”지식 상황제시 배경정보 자율주행개발 직무를 위해서는 자율주행 안전편의모듈시험 업무를 수
