seq,title,member,suffix,method,artifact_type,chars,has_task_prompt,has_evaluation_form,terms
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),경험면접 평가양식.hwp,.hwp,경험면접,evaluation_form,7949,False,True,평가양식
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),발표면접 과제.hwp,.hwp,발표면접,task,6146,True,False,
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),발표면접 평가양식.hwp,.hwp,발표면접,evaluation_form,6969,True,True,평가양식
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),상황면접 과제.hwp,.hwp,상황면접,task,10411,True,False,
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),상황면접 평가양식.hwp,.hwp,상황면접,evaluation_form,7899,False,True,평가양식
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),토론면접 과제.hwp,.hwp,토론면접,task,2591,True,False,
20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),토론면접 평가양식.hwp,.hwp,토론면접,evaluation_form,7957,True,True,평가양식
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_경험면접 과제.hwp,.hwp,경험면접,task,12475,True,False,"에 따라 판정해 본 경험에 대하여 말씀해 주시기 바랍니다. (관련 경력이 없을 경우 유사 경험, 관련 교육과정 중 해당 사례의 학습 경험을 질문"
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_경험면접 평가양식.hwp,.hwp,경험면접,evaluation_form,1674,False,True,평가양식
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_발표면접 과제.hwp,.hwp,발표면접,task,10089,True,False,
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_발표면접 평가양식.hwp,.hwp,발표면접,evaluation_form,1061,True,True,평가양식
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_상황면접 과제.hwp,.hwp,상황면접,task,10611,True,False,을 어떻게 설정할지 말씀해 주시기 바랍니다. I. 자율주행 환경 조건에 대한 상황 판단과 경로생성 제어모듈의 분석결과를 판정하는 단계입니다. 성; 을 어떻게 설정할지 말씀해 주시기 바랍니다. J. 자율주행 환경 조건에 대한 동적 제어모듈의 분석 결과를 판정하는 단계입니다. 성능평가 항목을
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_상황면접 평가양식.hwp,.hwp,상황면접,evaluation_form,843,False,True,평가양식
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_토론면접 과제.hwp,.hwp,토론면접,task,5048,True,False,
20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,자율주행개발_토론면접 평가양식.hwp,.hwp,토론면접,evaluation_form,1674,True,True,평가양식
