collection,collection_id,lib_dstin_cd,menu_id,seq,title,ncs_code_hint,detail_label_hint,view_text,member_count,methods,task_methods,evaluation_methods,method_count,artifact_types,pairing_scope,has_task_and_eval_material,has_task_and_eval_pairs,archive,download_path,download_suffix,container_type,warnings
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104142976,(2024신규)지능형교통체계_14-06-04,14-06-04,지능형교통체계,(2024신규)지능형교통체계_14-06-04,5,경험면접; 발표면접; 상황면접; 인바스켓면접; 토론면접,경험면접; 발표면접; 상황면접; 인바스켓면접; 토론면접,경험면접; 발표면접; 상황면접; 인바스켓면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104142976_(2024신규)지능형교통체계_14-06-04.hwp,.tmp\ncs_official_interview_samples\20250115104142976_(2024신규)지능형교통체계_14-06-04.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104051375,(2024신규)주거서비스_14-06-03,14-06-03,주거서비스,(2024신규)주거서비스_14-06-03,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104051375_(2024신규)주거서비스_14-06-03.hwp,.tmp\ncs_official_interview_samples\20250115104051375_(2024신규)주거서비스_14-06-03.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115103400442,(2024신규)재생에너지_23-05-05,23-05-05,재생에너지,(2024신규)재생에너지_23-05-05,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115103400442_(2024신규)재생에너지_23-05-05.hwp,.tmp\ncs_official_interview_samples\20250115103400442_(2024신규)재생에너지_23-05-05.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115103339606,(2024신규)수소연료전지_NCS미개발,,수소연료전지_NCS미개발,(2024신규)수소연료전지_NCS미개발,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115103339606_(2024신규)수소연료전지_NCS미개발.hwp,.tmp\ncs_official_interview_samples\20250115103339606_(2024신규)수소연료전지_NCS미개발.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115103318963,(2024신규)바이오의약_17-05-01,17-05-01,바이오의약,(2024신규)바이오의약_17-05-01,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115103318963_(2024신규)바이오의약_17-05-01.hwp,.tmp\ncs_official_interview_samples\20250115103318963_(2024신규)바이오의약_17-05-01.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115103300070,(2024신규)미래형전기시스템_19-01-13,19-01-13,미래형전기시스템,(2024신규)미래형전기시스템_19-01-13,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115103300070_(2024신규)미래형전기시스템_19-01-13.hwp,.tmp\ncs_official_interview_samples\20250115103300070_(2024신규)미래형전기시스템_19-01-13.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115103218661,(2024신규)무선통신구축_20-02-02,20-02-02,무선통신구축,(2024신규)무선통신구축_20-02-02,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115103218661_(2024신규)무선통신구축_20-02-02.hwp,.tmp\ncs_official_interview_samples\20250115103218661_(2024신규)무선통신구축_20-02-02.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115103148542,(2024신규)교통계획설계_14-06-02,14-06-02,교통계획설계,(2024신규)교통계획설계_14-06-02,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115103148542_(2024신규)교통계획설계_14-06-02.hwp,.tmp\ncs_official_interview_samples\20250115103148542_(2024신규)교통계획설계_14-06-02.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115103116729,(2024신규)광기술개발_19-03-10,19-03-10,광기술개발,(2024신규)광기술개발_19-03-10,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115103116729_(2024신규)광기술개발_19-03-10.hwp,.tmp\ncs_official_interview_samples\20250115103116729_(2024신규)광기술개발_19-03-10.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229161358272,13-01-03. 외식경영,13-01-03,외식경영,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229161358272_13-01-03. 외식경영.pdf,.tmp\ncs_official_interview_samples\20240229161358272_13-01-03. 외식경영.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229161326116,13-01-02. 식음료서비스,13-01-02,식음료서비스,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229161326116_13-01-02. 식음료서비스.pdf,.tmp\ncs_official_interview_samples\20240229161326116_13-01-02. 식음료서비스.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229161259628,10-01-01. 일반·해외영업,10-01-01,일반·해외영업,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229161259628_10-01-01. 일반·해외영업.pdf,.tmp\ncs_official_interview_samples\20240229161259628_10-01-01. 일반·해외영업.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229161230085,16-01-01. 금속엔지니어링,16-01-01,금속엔지니어링,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229161230085_16-01-01. 금속엔지니어링.pdf,.tmp\ncs_official_interview_samples\20240229161230085_16-01-01. 금속엔지니어링.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229161155425,20-01-04. 정보기술관리,20-01-04,정보기술관리,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229161155425_20-01-04. 정보기술관리.pdf,.tmp\ncs_official_interview_samples\20240229161155425_20-01-04. 정보기술관리.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229161121926,10-03-01. e-비지니스,10-03-01,e-비지니스,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229161121926_10-03-01. e-비지니스.pdf,.tmp\ncs_official_interview_samples\20240229161121926_10-03-01. e-비지니스.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229161046723,16-01-02. 금속재료제조,16-01-02,금속재료제조,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229161046723_16-01-02. 금속재료제조.pdf,.tmp\ncs_official_interview_samples\20240229161046723_16-01-02. 금속재료제조.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229161017303,20-02-04. 실감형콘텐츠제작,20-02-04,실감형콘텐츠제작,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229161017303_20-02-04. 실감형콘텐츠제작.pdf,.tmp\ncs_official_interview_samples\20240229161017303_20-02-04. 실감형콘텐츠제작.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229160950238,20-01-06. 정보보호,20-01-06,정보보호,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229160950238_20-01-06. 정보보호.pdf,.tmp\ncs_official_interview_samples\20240229160950238_20-01-06. 정보보호.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240229160907124,06-01-01. 의료기술지원,06-01-01,의료기술지원,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240229160907124_06-01-01. 의료기술지원.pdf,.tmp\ncs_official_interview_samples\20240229160907124_06-01-01. 의료기술지원.pdf,.pdf,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222151500606,19-03-13. 착용형스마트기기,19-03-13,착용형스마트기기,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222151500606_19-03-13. 착용형스마트기기.hwp,.tmp\ncs_official_interview_samples\20240222151500606_19-03-13. 착용형스마트기기.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222151357101,19-03-05. 전자부품개발,19-03-05,전자부품개발,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222151357101_19-03-05. 전자부품개발.hwp,.tmp\ncs_official_interview_samples\20240222151357101_19-03-05. 전자부품개발.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222151320556,09-01-01. 자동차운전운송,09-01-01,자동차운전운송,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222151320556_09-01-01. 자동차운전운송.hwp,.tmp\ncs_official_interview_samples\20240222151320556_09-01-01. 자동차운전운송.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222151230573,19-03-09. 의료장비제조,19-03-09,의료장비제조,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222151230573_19-03-09. 의료장비제조.hwp,.tmp\ncs_official_interview_samples\20240222151230573_19-03-09. 의료장비제조.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222151142102,19-03-19. 원격시스템개발,19-03-19,원격시스템개발,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222151142102_19-03-19. 원격시스템개발.hwp,.tmp\ncs_official_interview_samples\20240222151142102_19-03-19. 원격시스템개발.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222151055333,19-03-15. 스마트팜개발,19-03-15,스마트팜개발,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222151055333_19-03-15. 스마트팜개발.hwp,.tmp\ncs_official_interview_samples\20240222151055333_19-03-15. 스마트팜개발.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222151010324,20-01-09. 스마트물류,20-01-09,스마트물류,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222151010324_20-01-09. 스마트물류.hwp,.tmp\ncs_official_interview_samples\20240222151010324_20-01-09. 스마트물류.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222150837679,19-03-02. 산업용전자기기개발,19-03-02,산업용전자기기개발,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222150837679_19-03-02. 산업용전자기기개발.hwp,.tmp\ncs_official_interview_samples\20240222150837679_19-03-02. 산업용전자기기개발.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222150747122,20-03-02. 방송플랫폼기술,20-03-02,방송플랫폼기술,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222150747122_20-03-02. 방송플랫폼기술.hwp,.tmp\ncs_official_interview_samples\20240222150747122_20-03-02. 방송플랫폼기술.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20240222150605378,19-03-11. 3D프린터개발,19-03-11,3D프린터개발,본 평가도구 모음은 직무의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20240222150605378_19-03-11. 3D프린터개발.hwp,.tmp\ncs_official_interview_samples\20240222150605378_19-03-11. 3D프린터개발.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20230426164042382,19-3-3. 정보통신기기개발(22년 고도화),19-03-03,정보통신기기개발,본 평가도구 모음은 직군의 전형별 채용도구 이해를 돕기 위한 예시 자료를 담고 있습니다,4,경험면접; 발표면접; 상황면접; 토론면접,,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting,archive_members,False,False,.tmp\ncs_official_interview_samples\20230426164042382_19-3-3. 정보통신기기개발(22년 고도화).hwp,.tmp\ncs_official_interview_samples\20230426164042382_19-3-3. 정보통신기기개발(22년 고도화).hwp,.hwp,document,
