collection,collection_id,lib_dstin_cd,menu_id,seq,title,ncs_code_hint,detail_label_hint,view_text,member_count,methods,task_methods,evaluation_methods,method_count,artifact_types,pairing_scope,has_task_and_eval_material,has_task_and_eval_pairs,archive,download_path,download_suffix,container_type,warnings
채용모델 면접문항,interview-model,49,MN02020303,20221230141754307,NCS 직무수행능력 면접문항,,NCS 직무수행능력,,3,경험면접; 발표면접; 상황면접,경험면접; 발표면접; 상황면접,경험면접; 발표면접; 상황면접,3,evaluation_form; task,document,True,True,.tmp\ncs_official_interview_samples\20221230141754307_NCS 직무수행능력 면접문항.pdf,.tmp\ncs_official_interview_samples\20221230141754307_NCS 직무수행능력 면접문항.pdf,.pdf,document,
채용모델 면접문항,interview-model,49,MN02020303,20220114104916317,"22-1-1. 출판(경험, 상황, 발표, 토론면접)",22-01-01,출판,"22-1-1. 출판(경험, 상황, 발표, 토론면접)",4,경험면접; 발표면접,발표면접,경험면접; 발표면접,2,evaluation_form; other; task,archive_members,True,True,".tmp\ncs_official_interview_samples\20220114104916317_22-1-1. 출판(경험, 상황, 발표, 토론면접).zip",".tmp\ncs_official_interview_samples\20220114104916317_22-1-1. 출판(경험, 상황, 발표, 토론면접).zip",.zip,zip,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104842318,(2024고도화)통신서비스_20-02-03,20-02-03,통신서비스,(2024고도화)통신서비스_20-02-03,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104842318_(2024고도화)통신서비스_20-02-03.hwp,.tmp\ncs_official_interview_samples\20250115104842318_(2024고도화)통신서비스_20-02-03.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104827226,(2024고도화)토목설계감리_14-02-01,14-02-01,토목설계감리,(2024고도화)토목설계감리_14-02-01,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104827226_(2024고도화)토목설계감리_14-02-01.hwp,.tmp\ncs_official_interview_samples\20250115104827226_(2024고도화)토목설계감리_14-02-01.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104808914,(2024고도화)정보기술전략계획_20-01-01,20-01-01,정보기술전략계획,(2024고도화)정보기술전략계획_20-01-01,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104808914_(2024고도화)정보기술전략계획_20-01-01.hwp,.tmp\ncs_official_interview_samples\20250115104808914_(2024고도화)정보기술전략계획_20-01-01.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104750584,(2024고도화)상품중개경매_10-03-03,10-03-03,상품중개경매,(2024고도화)상품중개경매_10-03-03,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104750584_(2024고도화)상품중개경매_10-03-03.hwp,.tmp\ncs_official_interview_samples\20250115104750584_(2024고도화)상품중개경매_10-03-03.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104720705,(2024고도화)사회복지정책_07-01-01,07-01-01,사회복지정책,(2024고도화)사회복지정책_07-01-01,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104720705_(2024고도화)사회복지정책_07-01-01.hwp,.tmp\ncs_official_interview_samples\20250115104720705_(2024고도화)사회복지정책_07-01-01.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104608833,(2024고도화)사회복지서비스_07-01-02,07-01-02,사회복지서비스,(2024고도화)사회복지서비스_07-01-02,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104608833_(2024고도화)사회복지서비스_07-01-02.hwp,.tmp\ncs_official_interview_samples\20250115104608833_(2024고도화)사회복지서비스_07-01-02.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104543017,(2024고도화)건축시공_14-03-02,14-03-02,건축시공,(2024고도화)건축시공_14-03-02,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104543017_(2024고도화)건축시공_14-03-02.hwp,.tmp\ncs_official_interview_samples\20250115104543017_(2024고도화)건축시공_14-03-02.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104526316,(2024고도화)건설시공관리_14-01-02,14-01-02,건설시공관리,(2024고도화)건설시공관리_14-01-02,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104526316_(2024고도화)건설시공관리_14-01-02.hwp,.tmp\ncs_official_interview_samples\20250115104526316_(2024고도화)건설시공관리_14-01-02.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104339985,(2024고도화)감정평가_10-02-04,10-02-04,감정평가,(2024고도화)감정평가_10-02-04,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104339985_(2024고도화)감정평가_10-02-04.hwp,.tmp\ncs_official_interview_samples\20250115104339985_(2024고도화)감정평가_10-02-04.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104320576,(2024고도화)가전기기개발_19-03-01,19-03-01,가전기기개발,(2024고도화)가전기기개발_19-03-01,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104320576_(2024고도화)가전기기개발_19-03-01.hwp,.tmp\ncs_official_interview_samples\20250115104320576_(2024고도화)가전기기개발_19-03-01.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104142976,(2024신규)지능형교통체계_14-06-04,14-06-04,지능형교통체계,(2024신규)지능형교통체계_14-06-04,5,경험면접; 발표면접; 상황면접; 인바스켓면접; 토론면접,경험면접; 발표면접; 상황면접; 인바스켓면접; 토론면접,경험면접; 발표면접; 상황면접; 인바스켓면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104142976_(2024신규)지능형교통체계_14-06-04.hwp,.tmp\ncs_official_interview_samples\20250115104142976_(2024신규)지능형교통체계_14-06-04.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104051375,(2024신규)주거서비스_14-06-03,14-06-03,주거서비스,(2024신규)주거서비스_14-06-03,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104051375_(2024신규)주거서비스_14-06-03.hwp,.tmp\ncs_official_interview_samples\20250115104051375_(2024신규)주거서비스_14-06-03.hwp,.hwp,document,
